,level_0,index,frequency
298,298,Cc1cc(,84424
299,299,c(-,83905
300,300,N2,3391
301,301,c3n,82601
302,302,CN(C,82426
303,303,c(OC),82005
304,304,c1ccc(Cl)cc,81457
305,305,Br),80710
306,306,co,79570
307,307,[C@@H]3,79238
308,308,C1=O,258
309,309,n3,78895
310,310,Cc1n,78332
311,311,Cc1,78039
312,312,c1=O,75325
313,313,C(O)=O,75300
314,314,([O-]),75273
315,315,c4ccc(,74720
316,316,N)N),74567
317,317,[C@]1,74362
318,318,C[C@@H]1,73745
319,319,C(C)(C)C),72324
320,320,n(C),71800
321,321,ccc2,70550
322,322,c3cccc(,69706
323,323,S(=O)(=O)N,68997
324,324,c1cccc2,68624
325,325,c1ccc2c(,68536
326,326,CCCCN),67856
327,327,(O)=O),67531
328,328,O[C@H](,66958
329,329,O=C(N,66665
330,330,O=C(O),65853
331,331,C1=O),65815
332,332,CCOC(=O),65624
333,333,(N),64753
334,334,\C=C\,64157
335,335,C(=O)O,37301
336,336,c4cc,63058
337,337,nc(-,61851
338,338,N=C(,61663
339,339,S(C),61620
340,340,C2=O),61584
341,341,c1ccc(cc1)-,60953
342,342,c2ccccc12),60156
343,343,n1)-,59528
344,344,Cc2ccc(,59461
345,345,=C/,59380
346,346,CN(CC,59135
347,347,Cc2ccccc2),59119
348,348,c(N),58871
349,349,cc(-,58788
350,350,C(=O)NCC,58706
351,351,c(=O)[nH],58686
352,352,4)cc,58547
353,353,Br)cc,58421
354,354,c2ccccc12,339
355,355,/C(,57620
356,356,c2cc1,57226
357,357,CN2CC,57020
358,358,C(N)=,56901
359,359,s1,55651
360,360,C#N,55581
361,361,N3CC,55412
362,362,CN2,442
363,363,C(=O)N[C@H](,54335
364,364,C3),54098
365,365,CC3),53914
366,366,[C@@]2,53832
367,367,c2ccc(Cl)cc,53105
368,368,c3cn,52739
369,369,Cc1c(,52605
370,370,c2[nH],52599
371,371,Cc1cccc(,52396
372,372,N(C(=O),51837
373,373,nc1,29219
374,374,[C@@]1,51573
375,375,cccc1,51321
376,376,CCCCCC,288
377,377,c2ccc(F),50516
378,378,Cc1cn,50462
379,379,(C)CC,50145
380,380,C(=O)N1,4055
381,381,OCO,49849
382,382,O=C1,49618
383,383,COc1cccc(,49523
384,384,O)cc1),49496
385,385,5),49492
386,386,-c2cc,49363
387,387,ccc3,49188
388,388,n(C,49168
389,389,[C@]2,49071
390,390,CCN(CC,49030
391,391,CN1C(=O),48895
392,392,C(N)=O,48631
393,393,c2ccc(cc2),48341
394,394,o1,48115
395,395,S(N),48002
396,396,[n+],47894
397,397,cn1,12136
398,398,NC(=O)[C@H](CC,47333
399,399,C(=S),47265
400,400,C(N)=N),47064
401,401,C(CC1),47058
402,402,CC(N),46987
403,403,n3),46220
404,404,c2=O),45929
405,405,c2ncn,45850
406,406,[N+]([O-]),45833
407,407,nc(N,45760
408,408,c3ccc(F),45648
409,409,cc(C),45442
410,410,c3ccccc23),45346
411,411,2)c1,45192
412,412,C(CC,45164
413,413,C(=O)N[C@@H](CCCN,45152
414,414,C3CC,45146
415,415,C(=O)N[C@@H](CC,45140
416,416,cc(F),44539
417,417,(=O)=O,44313
418,418,cccc2,44176
419,419,Cn2,44121
420,420,P(=O),43517
421,421,cc(OC),43490
422,422,c1cccn,43421
423,423,c1ccc(O,43418
424,424,[C@@H]2CC,43383
425,425,S(C)(=O)=O),43360
426,426,c4),43359
427,427,=N/,43219
428,428,Cc1c[nH],42948
429,429,C[C@H]2,42740
430,430,COc1ccccc1,1028
431,431,2)-,42622
432,432,c1ccn,42604
433,433,nc3,42320
434,434,COc1cc2,42179
435,435,COCC,42001
436,436,C(=N)N),41955
437,437,C=C(,41827
438,438,=C\,41446
439,439,cc(Cl),41274
440,440,-c2n,41205
441,441,c2n1,7494
442,442,Cc1ccc(O)cc1),40874
443,443,c1ccc2c(c1),40693
444,444,c1ccc(N,40594
445,445,c2cc3,40356
446,446,OCC2),40205
447,447,c4ccccc4),40109
448,448,nc(C),39462
449,449,c(cc1,39412
450,450,CS(=O)(=O),39326
451,451,Nc1nc(,39242
452,452,OCC1,8864
453,453,C[C@H](O),39053
454,454,C1=,39028
455,455,Cc1ccc(cc1),38989
456,456,c1ccc(Cl)cc1,18097
457,457,CC(N)=O),38056
458,458,c1cccc(c1),37761
459,459,OC(,37682
460,460,N(C)C),37631
461,461,[N+](=O)[O-]),37561
462,462,[C@@H](O,37557
463,463,[C@H]2CC,37501
464,464,CCn1,37370
465,465,3)cc1,20167
466,466,CCCCC2),37282
467,467,N#,37252
468,468,ncc,37196
469,469,c2cccn,37168
470,470,-c1n,36899
471,471,n[nH],36818
472,472,CC(=O)O),36474
473,473,c2c1),36336
474,474,Cl.,36194
475,475,C[C@@H](O),36131
476,476,cn1),35767
477,477,Cl)c(Cl),35651
478,478,C(=O)NC,651
479,479,(F)(F),35555
480,480,/N,35465
481,481,[C@@H]4,35434
482,482,-c2ccccc2),35328
483,483,Oc1ccc(,35022
484,484,c3ccc(Cl)cc,34850
485,485,NC(=O)CC,34729
486,486,[C@@]3,34718
487,487,CCCCC1),34596
488,488,nc(N),34591
489,489,c2c[nH],34254
490,490,[C@]3,34129
491,491,cn2),34037
492,492,(C)C),34024
493,493,no,33959
494,494,(=O)N,33878
495,495,C(=O)N2CC,33769
496,496,-c1ccc(,33579
497,497,c1ccc(F)cc1,2258
498,498,FC(F)(F),33076
499,499,CCN(CC),32989
500,500,c5cccc,32938
501,501,CC),32926
502,502,NC(=O)[C@H](CCCN,32775
503,503,CCCCC1,2497
504,504,s1),32477
505,505,c2cccc3,32338
506,506,N3,32250
507,507,ncc2,32096
508,508,C(=O)N[C@@H](CC(C)C),31994
509,509,c1C,206
510,510,c2ccc3,31860
511,511,N(CC2),31720
512,512,CC1(C),31588
513,513,O[C@@H](,31562
514,514,[C@@H](C)O),31547
515,515,P(O),31495
516,516,c2)cc1,12558
517,517,CC2,10848
518,518,c1ncn,31236
519,519,N1CCN(CC1),31118
520,520,N1C(=O),31102
521,521,CCNC(=O),31046
522,522,c3ccc4,30969
523,523,=C1,619
524,524,Cc1ccccc1,25198
525,525,[N+](=O)[O-],6928
526,526,C(C)C,822
527,527,cc(O),30773
528,528,COc1ccc(cc1),30751
529,529,Cc1c[nH]c2ccccc12),30560
530,530,3)cc2),30552
531,531,Cl)c(,30267
532,532,NC(=O)CNC(=O),30262
533,533,c21,30225
534,534,NC(C)=O),30202
535,535,oc(,30194
536,536,NC(=O)[C@H](CC(C)C),30125
537,537,s2),30124
538,538,C[C@@H]2,30110
539,539,CC(=O)N[C@@H](,29993
540,540,[nH]c(=O),29964
541,541,-n1,29929
542,542,=C(N)N),29850
543,543,c1cc(F),29849
544,544,c34),29808
545,545,c2ccccc2)cc1,5512
546,546,cn1)-,29681
547,547,c1=O),29679
548,548,=N\,29539
549,549,C4,29442
550,550,C(=N),29376
551,551,NC(=O)[C@H](C),29024
552,552,Cc1nc(,28993
553,553,[nH]c(,28782
554,554,O)cc2),28767
555,555,C(=O)N[C@@H](CCCCN),28764
556,556,c1ccc(-,28737
557,557,n(CC,28711
558,558,OC)c(OC),28524
559,559,c2c(C),28498
560,560,S(N)(=O)=O),28399
561,561,c2ccc(Cl)cc2),28159
562,562,c2ccc(F)cc2),28101
563,563,CC[C@H](C),28028
564,564,n1-,28026
565,565,c1c[nH],27996
566,566,C(=O)N[C@@H](Cc1ccccc1),27621
567,567,c1c(C),27569
568,568,c1cccc(Cl),27559
569,569,NC(=O)[C@@H](N),27396
570,570,[C@H](O,27387
571,571,c1ccc2n,27386
572,572,c(c1),27315
573,573,C(=O)CC,27310
574,574,c12)-,27210
575,575,.Cl,27117
576,576,c3ccccc3)cc,27096
577,577,c1ccc(O),27086
578,578,c1cnc(,27076
579,579,[C@@H]3CC,27051
580,580,C(=O)N1CCC[C@H]1,26924
581,581,N1CCN(,26920
582,582,cc4,26770
583,583,[C@H]4,26713
584,584,Cn1cc(,26638
585,585,c6,26584
586,586,N1CCCC,26528
587,587,[C@H](CC,26449
588,588,c5ccccc5,26379
589,589,CCCC2),26095
590,590,OCCOCC,26050
591,591,c3ccc(cc3),25929
592,592,P(=O)(O),25885
593,593,CCN,25751
594,594,3)cc2,25621
595,595,O1,25610
596,596,c1s,25470
597,597,Cc2ccccc2,25469
598,598,O[C@H](CO),25458
599,599,n2)cc1,1576
600,600,c3c2),25313
601,601,c2c(=O),25248
602,602,cc1-,25209
603,603,5CC,25197
604,604,[C@H]3CC,25195
605,605,c2ccc3c(,25143
606,606,C[C@H](NC(=O),25132
607,607,NC(=O)[C@H](CO),25054
608,608,C1CCCC,25050
609,609,nn2,25030
610,610,C1CC1,3673
611,611,[nH]1,24884
612,612,C(=O)N[C@@H](C),24879
613,613,cs1,24747
614,614,c2s,24733
615,615,OCC3),24671
616,616,.O=C(O),24585
617,617,N(C)C(=O),24577
618,618,C(C)(C)C,319
619,619,[C@]4,24483
620,620,CN3CC,24410
621,621,c3cccn,24348
622,622,N1CCOCC1,592
623,623,\C(,24237
624,624,c1nnc(,24174
625,625,Nc1ncn,24162
626,626,c(O,23969
627,627,c1O,12872
628,628,C2(CC,23828
629,629,C1(,23651
630,630,c2ccc(-,23470
631,631,n1cn,23435
632,632,nc2),23424
633,633,C(=O)N(,23373
634,634,N2CCOCC2),23321
635,635,NC(=O)[C@H](CCCCN),23311
636,636,c1cc(C),23276
637,637,c1OC,1910
638,638,OCCO,763
639,639,c(NC(=O),23174
640,640,CN(C(=O),23159
641,641,c1cccc(c1)-,23157
642,642,n(-,23124
643,643,n1cc(,23058
644,644,Nc2n,22868
645,645,[C@H](NC(=O),22735
646,646,cccn,22708
647,647,ncc1,22671
648,648,C(=O)OC,5138
649,649,Cc1cc(C),22635
650,650,CNCC,22622
651,651,[C@@H](O)[C@H](O),22600
652,652,[N+](=O)[O-])cc,22484
653,653,-n2,22318
654,654,c1ccc(NC(=O),22313
655,655,C[C@]1,22299
656,656,/C,22293
657,657,c1ccc(Cl)cc1),22281
658,658,c3)cc,22258
659,659,C(=O)OCC,1930
660,660,c1ccco,22153
661,661,c1ccc(F)cc1),22023
662,662,ncc(,21902
663,663,Cl)cc1,11528
664,664,c2ccc(cc2,21856
665,665,COc1ccc2,21836
666,666,c1[nH],21816
667,667,c3[nH],21728
668,668,c2ccc(C),21709
669,669,c2cc(F),21693
670,670,[C@@](C),21693
671,671,N=C(N),21663
672,672,cn2,21655
673,673,c1cc(ccc1,21620
674,674,[C@@H](CC,21475
675,675,N1CCC(CC1),21472
676,676,(C)(C),21454
677,677,[S,21435
678,678,c1ncc(,21420
679,679,C1=C(,21379
680,680,C(=O)N2,2576
681,681,c2cccc(c2),21353
682,682,n4,21351
683,683,c2cccc(Cl),21273
684,684,c2ccc(O,21265
685,685,NC(=O)[C@H](Cc1ccccc1),21178
686,686,c1Cl,21095
687,687,C1(CC,21072
688,688,C[C@H]3,21024
689,689,NC(=O)[C@H](C,21016
690,690,NC(=O)C(,21014
691,691,C1=N,225
692,692,=C2,327
693,693,OCC1),20969
694,694,cccc3,20965
695,695,CC2)cc1,1066
696,696,C(=O)N(C),20886
697,697,-c2cn,20838
698,698,c2ccccc21,20738
699,699,[C@@H]1CCCN1C(=O),20718
700,700,nc12,20669
701,701,c2c(N),20667
702,702,c1F,20650
703,703,CSS,20645
704,704,=CC,20453
705,705,Nc1ccc(,20416
706,706,2)CC1,20402
707,707,C)cc1,20398
708,708,[N+]([O-])=O),20342
709,709,CN1CCN(CC1),20237
710,710,#N),20207
711,711,cc4),20202
712,712,ccc12,20193
713,713,c3ccc(Cl)cc3),20148
714,714,(C1),20128
715,715,CCCCC3),20059
716,716,[C@](C),19901
717,717,c3ccc(F)cc3),19832
718,718,CN2C(=O),19778
719,719,c1ncc,19772
720,720,C[C@@H]3,19722
721,721,c2cc(-,19638
722,722,CC1CC,19636
723,723,(O,19609
724,724,ccc12),19587
725,725,cc(c1),19572
726,726,[C@@]4,19548
727,727,c-,19547
728,728,S(N)(=O)=O,19491
729,729,c(F)c1,922
730,730,/N=C/,19474
731,731,nn1,15652
732,732,c2c[nH]c3ccccc23),19421
733,733,c1nc2ccccc2,19336
734,734,c[nH]1),19215
735,735,F)cc2),19202
736,736,C(=S)N,19022
737,737,c2cc(Cl)cc,18970
738,738,c4cc(,18846
739,739,CN),18810
740,740,c2c(F),18700
741,741,CCCC3),18688
742,742,cs2),18450
743,743,c1c(F),18429
744,744,c2ccc3c(c2),18390
745,745,C2CC2),18345
746,746,c1ccc2ccccc2,18334
747,747,c1ccc(OCC,18312
748,748,O[C@H]1,18292
749,749,C(F)F),18285
750,750,c1cs,18238
751,751,c1c(O),18148
752,752,NC1=O),18124
753,753,c2)c1,18097
754,754,O[C@@H]1,18072
755,755,c2ccc(cc1,18034
756,756,ccc4,18013
757,757,1)C(=O),17947
758,758,CC(=O)N1CC,17946
759,759,cc12,17918
760,760,[Na,17884
761,761,C=C1,1075
762,762,c1ccccn1,17863
763,763,c(S,17862
764,764,c1ccc(cc1,17855
765,765,c2nc(-,17824
766,766,C1CCN(CC1),17776
767,767,C3=O),17739
768,768,c1cccnc1,3803
769,769,C(=O)NO),17694
770,770,c3c2,17553
771,771,cc1OC,1423
772,772,N[C@@H](,17552
773,773,nc1),17549
774,774,NC(=O)c1cc(,17534
775,775,c2ccccn2),17450
776,776,c2c(cn,17419
777,777,C(=O)OC),17403
778,778,c3cc4,17361
779,779,o2),17358
780,780,C(=O)N(C,17319
781,781,CCCC(=O),17261
782,782,CCN(,17256
783,783,C[C@H](N),17233
784,784,Cc3ccccc3),17176
785,785,C[C@@H](C),17165
786,786,Cc1cnc[nH]1),17059
787,787,CN3,16987
788,788,nc(S,16962
789,789,nc1-,16911
790,790,CCC(,16907
791,791,[C@@H](N),16853
792,792,c1cn(,16833
793,793,C(C)=O,16765
794,794,C=C),16736
795,795,O=S(=O),16735
796,796,(CO),16711
797,797,c2cc(C),16661
798,798,c2ccn,16656
799,799,OC(F)(F)F),16609
800,800,/C=C\,16552
801,801,[nH]1),16520
802,802,NC(=O)O,16494
803,803,CCOc1ccc(,16429
804,804,N(C)CC,16408
805,805,(CO,16367
806,806,C(=O)N[C@@H](CCCNC(N)=N),16364
807,807,CC[C@H](,16346
808,808,O2),16300
809,809,c1c2,16261
810,810,cc1F,16206
811,811,/C=N/,16092
812,812,O)c(O),16089
813,813,c23)cc1,4291
814,814,=C),16007
815,815,cc23),15991
816,816,c1ccc2[nH],15984
817,817,N2C(=O),15977
818,818,C(=O)NC(,15943
819,819,S(C)(=O)=O,15909
820,820,(F)(F)F),15893
821,821,CC(O),15802
822,822,C(=O)N[C@@H](CO),15780
823,823,c1cc(Cl),15779
824,824,C2=O,206
825,825,4CCOCC,15770
826,826,.[Na,15749
827,827,C[C@@H]1CC,15713
828,828,NC(,15666
829,829,c4c(,15650
830,830,[C@@]2(C),15594
831,831,Cc1ccc(F),15566
832,832,[C@H]1O,2979
833,833,2CC2),15548
834,834,c1cccc(F),15522
835,835,-c2ccccc2,15491
836,836,CN(C)C(=O),15457
837,837,C(=O)Nc1ccc(,15444
838,838,O)c(,15379
839,839,c2)CC1,15376
840,840,Cc1cc2,15367
841,841,CC[C@H](C)[C@H](,15236
842,842,(C)C,15169
843,843,c2ccc(Cl)cc2,15167
844,844,[C@@H]1O,2795
845,845,c3ccn,15108
846,846,OC[C@H]1,15100
847,847,c2ncc(,15088
848,848,N1CCN(CC,15084
849,849,CC(C)C[C@H](,15078
850,850,COc1cc(OC),15047
851,851,cc1Cl,15045
852,852,C(=O)N[C@@H](CCCNC(=N)N),14984
853,853,)cc1),14952
854,854,[nH]2),14943
855,855,c2nc3ccccc3,14939
856,856,SC),14904
857,857,N1CCC(,14875
858,858,c2n(,14873
859,859,C1CCCCC1,928
860,860,c1cc(Cl)cc,14836
861,861,c1cccc2cccc,14815
862,862,Cl)cc2),14765
863,863,3C),14728
864,864,[n+]1,14726
865,865,Cc2c(,14725
866,866,-c1cn,14702
867,867,c1ccccc1)c1ccccc1,14673
868,868,4)cc3),14660
869,869,s1)-,14640
870,870,cc2)cc1,14640
871,871,NC(=N),14638
872,872,c2ccc3ccccc3,14588
873,873,c4cn,14541
874,874,c1ccc2nc(,14537
875,875,NC(=O)c1ccc(,14523
876,876,COc1cc,14489
877,877,c1ccncc1,3564
878,878,c2cc(ccc2,14482
879,879,Cn1cn,14459
880,880,C(=O)NCC(=O)N[C@@H](,14410
881,881,.[,14373
882,882,=S),14371
883,883,[C@]12,14368
884,884,[C@H]2O),14357
885,885,Fc1ccc(,14291
886,886,C(CC2),14246
887,887,S(=O)(=O)c1ccc(,14243
888,888,c4ccccc34),14200
889,889,Cc2ccc(O)cc2),14200
890,890,I),14188
891,891,Cl)cc2,14186
892,892,[C@H](Cc1ccccc1),14165
893,893,c(Cl)c1,1818
894,894,-c1ccccc1,3115
895,895,nc12),14149
896,896,o1),14144
897,897,cnc1,332
898,898,cs1),14110
899,899,[N+]([O-])=O,14107
900,900,O=C(NCC,14089
901,901,c1ccco1,14074
902,902,nc2c1,5684
903,903,C=CC,13986
904,904,cc(OC)c1OC,359
905,905,/C=C(,13951
906,906,NC(=O)[C@H](CC(N)=O),13915
907,907,n1cc,13914
908,908,C2CCCCC2),13909
909,909,c2cc(O),13874
910,910,N=,13841
911,911,C(=O)N[C@@H](CC(N)=O),13824
912,912,(C2),13746
913,913,CCCCO,13745
914,914,5)cc,13737
915,915,c5ccc(,13732
916,916,c(C)c1,13534
917,917,OCC(=O),13727
918,918,CC(C)(C)O,572
919,919,Clc1ccc(,13724
920,920,C2)cc1,338
921,921,.O=C(O)C(F)(F)F,3257
922,922,c3ccc(C),13620
923,923,c(CC,13605
924,924,c2cc1OC,463
925,925,c2cccc(F),13564
926,926,C2=C(,13534
927,927,c2ccco,13510
928,928,NC(=O)[C@H](CCC(N)=O),13500
929,929,C2(,13467
930,930,c1cccs1,13460
931,931,[C@]2(C),13457
932,932,C(=O)N3CC,13406
933,933,NC1=O,13388
934,934,C/C(,13383
935,935,CC(=O)NCC,13334
936,936,N1CCN(C,13314
937,937,N(CC3),13288
938,938,C1CCCCC1),13228
939,939,C(=O)N[C@@H](Cc1ccc(O)cc1),13171
940,940,[C@H]1CC[C@@H](,13161
941,941,[C@H](N),13160
942,942,[C@]3(C),13131
943,943,%1,13100
944,944,c(=O)n(C),13070
945,945,c3cccc4,13067
946,946,c3ccc(O),13059
947,947,c3n2),13054
948,948,(CC(C,13035
949,949,C(N)=N,4183
950,950,C(=O)N[C@@H](CCC(N)=O),12935
951,951,C=O),12911
952,952,O=S(=O)(,12902
953,953,Cc1ccc(NC(=O),12898
954,954,Cn1c(,12896
955,955,c2cs,12893
956,956,c4ccc(F),12892
957,957,C(=O)N[C@@H](Cc1c[nH]c2ccccc12),12872
958,958,COc1ccc(cc1,12869
959,959,C4),12863
960,960,c2c(N)ncn,12830
961,961,c2C),12817
962,962,[C@@H]1O),12801
963,963,c2c(c1),12769
964,964,C(=O)NS(=O)(=O),12700
965,965,c-2,12665
966,966,c3ncn,12661
967,967,C1CC1),12642
968,968,[C@]1(C),12624
969,969,cn3),12602
970,970,4CC4),12598
971,971,c2c(O),12589
972,972,c2ncc,12580
973,973,-c1cc(,12568
974,974,c1ccnc(,12517
975,975,C2=,12449
976,976,CN(C)CC,12412
977,977,c3ccc(-,12397
978,978,O1),12389
979,979,Oc1cc(,12375
980,980,NC(=O)C,12358
981,981,c2ccccc2)CC1,12311
982,982,3CC3),12291
983,983,c(Br),12262
984,984,c3nc(,12245
985,985,c3cccc(Cl),12236
986,986,C(N,12178
987,987,c(c3),12177
988,988,C(=O)N[C@@H](CCCN=C(N)N),12163
989,989,NC(=O)[C@H](CCCNC(N)=N),12102
990,990,nn2),12090
991,991,c1C),12022
992,992,O=C,12019
993,993,c(Nc3ccc(,12003
994,994,n12,12000
995,995,CCCC1,3399
996,996,CCC(=O)N,11968
997,997,CCN(C,11966
998,998,c3ccccn3),11965
999,999,c2ccc(Br)cc,11958
1000,1000,c1cc2c(,11958
1001,1001,CN1CCN(,11945
1002,1002,c3=O),11932
1003,1003,c1ccc(OC,11876
1004,1004,CCN1,1304
1005,1005,CC(O)=O),11834
1006,1006,NC(=O)[C@H](Cc1ccc(O)cc1),11830
1007,1007,c(OC)c1,11793
1008,1008,c2c1)-,11779
1009,1009,cc(C(F)(F)F),11777
1010,1010,c32),11756
1011,1011,c(n1),11755
1012,1012,n2cn,11748
1013,1013,O[C@@H]2,11748
1014,1014,Nc1cc(,11740
1015,1015,N2CCN(,11715
1016,1016,[C@@H](C)CC),11695
1017,1017,c2ccc(cc12),11686
1018,1018,P(O)(O)=O),11683
1019,1019,C3CC3),11679
1020,1020,c(NC,11677
1021,1021,s3),11674
1022,1022,c3cccnc3),11664
1023,1023,-c2ccc(F)cc2),11662
1024,1024,C(O,11653
1025,1025,CCOc1cc(,11626
1026,1026,c2o,11598
1027,1027,NC(=O)[C@H](CC(O)=O),11598
1028,1028,/C(=C/,11597
1029,1029,OCc1ccccc1),11572
